Year	Month	Date	Country	Area	Location	Type	Species	Number of victims	Age	Injury	Activity	Fatal (Y/N)	Sex	Season
1890	Aug	Reported 17-Aug-1890	USA	New Jersey	Off Normandie-by-the-Sea, Monmouth County	Provoked	"5'7"" shark"	1.0	[nan]	['No injury to occupants. Hooked shark damaged boat PROVOKED INCIDENT']	['Fishing for bluefish']	['N']	[nan]	Summer
1892	Mar	02-Mar-1892	AUSTRALIA	New South Wales	Lake Macquarie	Provoked	12' shark	1.0	['21']	['Lacerations to calf by netted shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Spring
1894	Aug	21-Aug-1894	USA	New York	Woolsey's Point, East River	Unprovoked	Shovelnose shark, 5'	1.0	[nan]	['No injury']	['Swimming']	['UNKNOWN']	['F']	Summer
1894	Dec	11-Dec-1894	USA	Florida	North Beach, St. Augustine	Provoked	12' shark	1.0	[nan]	['Left leg bitten PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
1894	Jul	Reportd 15-Jul-1894	FRANCE	Provence	la Badine, Hy�res 	Unprovoked	1.8 m shark	1.0	[nan]	['No injury']	['Fishing']	['Y']	['M']	Summer
1894	Nov	28-Nov-1894	AUSTRALIA	New South Wales	Newcastle 	Unprovoked	10' to 12' shark	1.0	['19']	"['""Lost his arm""']"	['Bathing']	['N']	['M']	Autumn
1895	Sep	Sep-1895	USA	North Carolina	Near the mouth of the Cape Fear River, Brunswick County	Provoked	5' shark	1.0	[nan]	['No injury, hooked shark rammed boat & Ruark fell on its back PROVOKED INCIDENT']	['Fishing']	['N']	[nan]	Autumn
1897	Oct	15-Oct-1897	MEXICO	Vera Cruz	Vera Cruz Harbor	Invalid	Questionable	1.0	[nan]	['Minor injuries']	['Diving']	['N']	['M']	Autumn
1897	Oct	Reported 05-Oct-1897	MARSHALL ISLANDS	Ratak 	Ailuk Island	Unprovoked	3 sharks	1.0	[nan]	['FATAL']	['Fishing']	['Y']	[nan]	Autumn
1897	Sep	17-Sep-1897	USA	Rhode Island	Point Judith	Provoked	"13'10"" shark"	1.0	[nan]	['Lacerations to hand by netted shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Autumn
1899	Aug	15-Aug-1899	USA	Florida	Trout River, Panama Park	Unprovoked	3 m [10'] shark	1.0	['15']	['FATAL']	['Swimming']	['Y']	['M']	Summer
1899	Aug	Reported 23-Aug-1899	USA	California	Monterey Bay, Monterey County	Provoked	Basking shark	1.0	[nan]	['FATAL, Drowned or crushed when harpooned shark smashed their boat PROVOKED INCIDENT']	['Hunting sharks']	['Y']	['M']	Summer
1899	Jun	  02-Jun-1899	NEW ZEALAND	North Island	East Cape	Invalid	Shark involvement not confirmed	1.0	[nan]	['FATAL']	['Attempting to land a boat from the Hinemoa']	['Y']	['M']	Summer
1899	Jun	07-Jun-1899	ITALY	Calabria	Bagnara Calabra	Provoked	70 kg shark	1.0	[nan]	['Multiple injuries from boated shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Summer
1899	May	28-May-1899	PHILIPPINES	Negros 	Escalante	Invalid	Shark involvement not confirmed	1.0	[nan]	['FATAL']	['Swimming']	['Y']	['M']	Spring
1900	Sep	13-Sep-00	USA	Rhode Island	Coddington Cove	Unprovoked	 	1.0	[nan]	['No injury']	['Diving']	['UNKNOWN']	['M']	Autumn
1901	Jul	30-Jul-01	SOUTH AFRICA	Western Cape Province	Windmill Beach	Unprovoked	White shark	1.0	['29']	['Right leg bitten & foot severed, right arm bitten, bones fractured & nearly severed FATAL']	['Swimming']	['Y']	['M']	Summer
1901	Sep	Reported 23-Sep-1901	CYPRUS	Southern Cyprus	Larnaca	Unprovoked	2 m shark	1.0	['Teen']	['FATAL, bitten on arms, chest & legs']	['Swimming']	['Y']	['M']	Autumn
1903	Jan	  10-Jan-1903	AUSTRALIA	New South Wales	Lane Cove River, Sydney Harbor (Estuary)	Unprovoked	Bull shark	1.0	[nan]	['FATAL']	[nan]	['Y']	['M']	Winter
1903	Sep	Reported 16-Sep-1903	USA	New Jersey	Atlantic City, Atlantic County	Unprovoked	9' shark	1.0	[nan]	['Lacerations to right arm & shoulder']	['Fishing']	['N']	['M']	Autumn
1905	Dec	29-Dec-05	AUSTRALIA	Western Australia	Geraldton	Invalid	Shark involvement not confirmed	1.0	[nan]	"['""Bad wound in the leg"" - 7-ft shark caught in the bath same day']"	['Bathing']	['N']	['M']	Winter
1905	Dec	31-Dec-05	SOUTH AFRICA	KwaZulu-Natal	Back Beach, Durban	Unprovoked	2.4 m [8'] shark	1.0	[nan]	['FATAL, left torso, buttocks, thigh & foot bitten ']	['Floating or standing']	['Y']	['M']	Winter
1905	Mar	26-Mar-05	AUSTRALIA	New South Wales	Lismore	Unprovoked	5' shark	1.0	['40']	['Righ thigh severely bitten']	['Bathing']	['N']	['M']	Spring
1906	Apr	16-Apr-06	AUSTRALIA	Victoria	Western Port Bay	Provoked	13' shark	1.0	[nan]	['Finger severed by shark he had shot & stabbed PROVOKED INCIDENT']	['Shooting sharks ']	['N']	['M']	Spring
1906	Aug	04-Aug-06	USA	Maryland	Tangier Sound, Somerset County	Unprovoked	Remains recovered 5 days later	1.0	[nan]	['FATAL']	['Fell overboard']	['Y']	['M']	Summer
1906	Jan	20-Jan-06	SOUTH AFRICA	KwaZulu-Natal	Battery Beach, Durban	Unprovoked	1.8 m to 2.7 m [6' to 9'] shark	1.0	['30']	['FATAL, hips & thigh bitten ']	['Washing horses']	['Y']	['M']	Winter
1906	Jul	Reported 05-Jul-1906	USA	Mississippi	Bay St. Louis, Hancock County	Unprovoked	Fishermen recovered partial remains from shark a week later	1.0	[nan]	['FATAL']	['Swimming']	['Y']	['M']	Summer
1906	Sep	Sep-06	USA	California	Avalon, Los Angeles County	Provoked	Shortfin mako shark, 175-lb 	1.0	[nan]	['PROVOKED INCIDENT        No injury; shirt torn by gaffed shark']	['Fishing']	['N']	['M']	Autumn
1907	Dec	21-Dec-07	AUSTRALIA	New South Wales	Middle Harbour, Sugarloaf Bay, Sydney (Estuary)	Unprovoked	Bull shark	1.0	[nan]	['FATAL']	['Bathing']	['Y']	['M']	Winter
1907	Jul	Jul-07	USA	South Carolina	Small creek near Coles Island	Unprovoked	1.5 m [5'] shark	1.0	[nan]	['Slight injuries to left knee & calf ']	['Floating in creek']	['N']	['M']	Summer
1907	Mar	07-Mar-07	MALTA	Harare Province	Marsaskala	Unprovoked	White shark, 6 m 	1.0	[nan]	['FATAL,            Fell overboard and were killed by shark']	['Fishing']	['Y']	['M']	Spring
1907	Oct	Reported 16-Oct-1907	CHINA	Hong Kong	Sharp Peak, Sai Kung Peninsula, New Territories	Unprovoked	Shark involvement probable	1.0	[nan, nan]	['3 of thel 5 were injured, one of whom lost both hands', ' 2 of the 5 fishermen were so seriously injured they died of their wounds']	['Fishing', 'Fishing']	['N', 'Y']	['M', 'M']	Autumn
1908	Jul	Reported 08-Jul-1908	CROATIA	Adriatic Sea	Medola	Unprovoked	Species unknown, possible white shark	2.0	[nan]	['FATAL, lost a leg']	['Boating']	['Y']	['F']	Summer
1908	Jun	Reported 02-Jun-1908	PAPUA NEW GUINEA	New Britain	Matupi	Sea Disaster	Allegedly a 33-foot shark	1.0	[nan]	['Remains of 3 humans recovered from shark, but shark involvement prior to death unconfirmed']	['.']	['Y']	['.']	Summer
1908	Sep	   21-Sep-1908	AUSTRALIA	Torres Strait	Thursday Island	Unprovoked	Remains recovered from 3 sharks	1.0	[nan]	['FATAL']	['Fell from the jetty']	['Y']	['M']	Autumn
1909	Dec	05-Dec-09	AUSTRALIA	New South Wales	Bondi	Provoked	7' shark	1.0	[nan]	['3 fingers bitten by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
1909	Jun	26-Jun-09	SOUTH AFRICA	Western Cape Province	Cape Town	Unprovoked	18-foot shark	1.0	[nan]	['Remains of soldier in uniform. Probable drowning & scavenging']	[nan]	['Y']	['M']	Summer
1909	Sep	Reported 04-Sep-1909	USA	Delaware	Lewes, Sussex County	Provoked	5' shark	1.0	[nan]	['Abrasion to leg from netted shark PROVOKED INCIDENT']	['Seine netting']	['N']	['M']	Autumn
1910	Feb	  16-Feb-1910	AUSTRALIA	Western Australia	Bunbury	Unprovoked	5.5' to 6' shark	1.0	[nan]	['Shoulder, back & leg bitten']	['Surf bathing']	['N']	['M']	Winter
1910	Mar	08-Mar-10	NEW ZEALAND	North Island	Waikanae Beach, Gisborne	Unprovoked	6' shark	1.0	[nan]	['Lacerations to foot']	['Swimming']	['N']	['M']	Spring
1910	Nov	24-Nov-10	AUSTRALIA	Queensland	Mackay	Unprovoked	Said to involve  9' blue shark	1.0	[nan]	['Foot bitten']	['Bathing']	['N']	['M']	Autumn
1911	May	Reported 01-May-1911	USA	Texas	Rockport, Aransas County	Provoked	5' shark	1.0	[nan]	['Bitten on left leg by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Spring
1912	Jan	06-Jan-12	AUSTRALIA	New South Wales	Sydney Harbor	Unprovoked	C. macrurus captured 48 hours after attack with tissue removed from man in its gut; species identified by G.P. Whitley,  reported as C. obscurus by  R. Steel	1.0	[nan]	['Thigh & lower abdomen severely bitten']	[nan]	['N']	['M']	Winter
1912	Jan	26-Jan-12	AUSTRALIA	New South Wales	Fig Tree Bridge, Lane Cove River, near Sydney 	Unprovoked	"2.8 m [9'3""] whaler shark captured 3 days later with his remains in its gut"	1.0	['21']	['FATAL']	['Swimming']	['Y']	['M']	Winter
1912	Jul	23-Jul-12	USA	South Carolina	Sullivan's Island	Unprovoked	8' shark	1.0	[nan]	['Toes severed']	['Swimming']	['N']	['M']	Summer
1913	Dec	Reported 30-Dec-1913	USA	Florida	Palm Beach, Palm Beach County	Provoked	13' shark	1.0	[nan]	['No injury to occupants but hull splintered by harpooned shark PROVOKED INCIDENT']	['Fishing for mackerel']	['N']	[nan]	Winter
1913	Jan	Jan-13	AUSTRALIA	Torres Strait	Thursday Island	Unprovoked	Tiger shark 	1.0	[nan]	['Head, neck & left shoulder bitten']	['Diving']	['N']	['M']	Winter
1913	Sep	03-Sep-13	CROATIA	Istria County	Pula	Provoked	2 m shark	1.0	[nan]	['Badly bitten by a shark dragged onboard PROVOKED INCIDENT']	[nan]	['N']	['M']	Autumn
1913	Sep	21-Sep-13	USA	Florida	West Palm Beach, Palm Beach County	Unprovoked	Said to involve a 2.4 m [8'] hammerhead shark	1.0	[nan]	['Major injuries but survived']	[nan]	['N']	['M']	Autumn
1914	Feb	Reported 09-Feb-1914	AUSTRALIA	South Australia	Marion Bay	Unprovoked	said to involve a tiger shark	1.0	[nan]	['Lacerations to foot']	['Wading']	['N']	['M']	Winter
1914	Jul	07-Jul-14	CROATIA	 Primorje-Gorski Kotar County	Rijeka	Unprovoked	6 m shark	1.0	[nan]	['No injury, shark nudged raft and circled for 2 hrs.']	[nan]	['N']	['M']	Summer
1914	Jul	Reported 15-Jul-1914	CROATIA	Zadar County	Biograd na moru	Unprovoked	1.5 m [5'] shark	1.0	[nan]	['No injury, shark grabbed clothes']	['Washing clothes']	['N']	['F']	Summer
1914	May	14-May-14	USA	Florida	Boca Ciega Bay, Pinellas County	Provoked	3' shark	1.0	[nan]	['PROVOKED INCIDENT Lacerations to right hand by hooked shark']	['Fishing']	['N']	['F']	Spring
1914	Sep	Reported 26-Sep-1914	JAMAICA	Kingston Parish	Port Royal	Unprovoked	"A 20' shark known as ""Old Tom"""	1.0	[nan]	['FATAL']	['Fell overboard']	['Y']	['M']	Autumn
1915	Mar	29-Mar-15	AUSTRALIA	Torres Strait	Near Thursday Island	Unprovoked	3 m [10'] shark	1.0	[nan]	['Shoulder bitten. Hana, one of the rescuers, fended shark off with an oar, then shark bit oar in two']	['Skin diving for trepang but at surface next to the boat']	['N']	['M']	Spring
1916	Jul	01-Jul-16	USA	New Jersey	Beach Haven, Ocean County	Unprovoked	Thought to involve a 2.6 m [8.5'] white shark	1.0	['24']	['FATAL, left leg bitten']	['Swimming']	['Y']	['M']	Summer
1916	Jul	06-Jul-16	USA	New Jersey	Spring Lake, Monmouth County	Unprovoked	Thought to involve a 2.6 m [8.5'] white shark	1.0	[nan]	['FATAL']	['Swimming']	['Y']	['M']	Summer
1916	Jul	12-Jul-16	USA	New Jersey	In Matawan Creek, off NJ Clay Company brickyards at Cliffwood, Monmouth County, 9.5 miles from the sea, Monmouth County	Unprovoked	Said to involve a 2.7 m [9'] shark	1.0	['12']	['Lower left leg bitten, surgically amputated']	['Swimming']	['N']	['M']	Summer
1916	Jul	12-Jul-16	USA	New Jersey	Matawan Creek, 10 miles from the sea, Monmouth County	Unprovoked	3 m [10'] shark	1.0	['24']	['FATAL, thigh bitten ']	['Swimming (recovering remains of Stilwell) ']	['Y']	['M']	Summer
1917	Sep	09-Sep-17	USA	Hawaii	Nanakuli, Oah�u	Provoked	12' shark	1.0	[nan]	['Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT']	['Stuffing a shark into an automobile']	['N']	['M']	Autumn
1918	Mar	22-Mar-18	AUSTRALIA	New South Wales	Newcastle	Unprovoked	12' shark	1.0	[nan]	['Severe laceration to arm, necessitating surgical amputation at the elbow']	['Surfing']	['N']	['M']	Spring
1918	Nov	Nov-18	SAN DOMINGO	60 miles north of San Domingo in the West Indies	Muchoir Banks	Sea Disaster	Tiger sharks, 2.4 m to 4.9 m [8' to 16'] 	1.0	[nan]	"['FATAL, ""men snatched from rafts by sharks""   ']"	['Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.']	['Y']	['M']	Autumn
1919	Apr	06-Apr-19	USA	Florida	Florida Keys 25�N,82�W	Unprovoked	3.7 m [12'], 1200-lb shark. Shark caught & its jaw exhibited at the Carnegie Museum	1.0	[nan]	['FATAL']	['Knocked into the water']	['Y']	['M']	Spring
1919	Jan	09-Jan-19	AUSTRALIA	New South Wales	Sirius Cove, Sydney Harbor	Unprovoked	12' shark	1.0	['13']	['FATAL, right thigh bitten ']	['Wading']	['Y']	['M']	Winter
1919	Jan	17-Jan-19	AUSTRALIA	New South Wales	Newcastle Beach	Unprovoked	3.7 m to 4.3 m [12' to 14']  shark	1.0	[nan]	['Multiple injuries, left leg surgically amputated at knee']	['Swimming']	['N']	['M']	Winter
1920	Jun	27-Jun-20	CANADA	Halifax	Slaunwhite's Ledge, Hubbard Cove	Provoked	15'	1.0	[nan]	['No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT']	['Harpooned shark']	['N']	[nan]	Summer
1920	Nov	22-Nov-20	AUSTRALIA	Western Australia	Cottesloe Beach	Unprovoked	"15* to 24"" dog shark"	1.0	[nan]	['Minor injuries to leg, hand & fingers']	['Standing']	['N']	['M']	Autumn
1920	Nov	29-Nov-20	AUSTRALIA	Western Australia	Bunbury	Unprovoked	4' to 5' shark	1.0	[nan]	['Lacerations to leg & hand']	['Wading']	['N']	['M']	Autumn
1921	Aug	22-Aug-21	HAITI	Cape Haitien	Marine Dock	Unprovoked	Comrades saw shark's tail appear about 5' away	1.0	[nan]	['FATAL, large wound on thigh']	['Dived into a school of baitfish']	['Y']	['M']	Summer
1921	Sep	Sep-21	ENGLAND	Dorset	Weymouth	Provoked	Blue shark, 4' 	1.0	[nan]	['Leg bitten by shark he was attempting to capture PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Autumn
1922	Dec	05-Dec-22	AUSTRALIA	Queensland	Pialba Beach near Maryborough	Unprovoked	"2.7 m [9'] ""blue"" shark"	1.0	['19']	['FATAL, severe injuries to torso  ']	"[""Bathing in 3' to 4' of water""]"	['Y']	['M']	Winter
1922	Feb	04-Feb-22	AUSTRALIA	New South Wales	Coogee 	Unprovoked	White shark	1.0	['18']	['FATAL, both arms & shoulder bitten']	['Swimming']	['Y']	['M']	Winter
1922	Jan	13-Jan-22	AUSTRALIA	New South Wales	Stockton Beach, Newcastle	Unprovoked	Grey nurse shark?	1.0	[nan]	['Small laceration on left thigh & swim costume torn']	['Standing']	['N']	['M']	Winter
1922	Jun	17-Jun-22	USA	Florida	Municipal Pier, St. Petersburg, Tampa bay	Unprovoked	1.8 m [6'] shark	1.0	['18']	['FATAL, thigh bitten']	['Floating']	['Y']	['F']	Summer
1922	Mar	02-Mar-22	AUSTRALIA	New South Wales	Coogee	Unprovoked	White shark, 2.4 m [8'] 	1.0	['21']	['FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene']	['Bathing in knee-deep water']	['Y']	['M']	Spring
1922	Mar	13-Mar-22	JAMAICA	Kingston Parish	Kingston Harbor	Unprovoked	2.7 m [9'] shark later captured by Mitchell-Hedges	1.0	['14']	['FATAL, right leg severed at thigh ']	['Standing']	['Y']	['F']	Spring
1922	May	06-May-22	SOUTH AFRICA	Western Cape Province	Simon�s Town, False Bay	Unprovoked	White shark, 12', identity confirmed by tooth fragment, witness and photograph of captured shark 	1.0	['18']	['Abdomen & thigh bitten']	['Swimming']	['N']	['M']	Spring
1922	May	24-May-22	JAMAICA	Westmoreland Parish	Savanna-la-Mar	Unprovoked	6' shark	1.0	['19']	['FATAL, arm severed, thigh severely bitten  ']	['Swimming']	['Y']	['M']	Spring
1922	Sep	Reported 21-Sep-1922	USA	Massachusetts	Nahant	Boating	"""A pack of 6 sharks"""	1.0	[nan]	['No injury to occupants, shark splintered stern']	['Fishing']	['N']	[nan]	Autumn
1923	Jan	14-Jan-23	CUBA	Caribbean Sea	20 miles from Havana	Invalid	Atkins' remains were recovered from a dusky shark, C. obscurus, by Capt. W. F. Young, shark fisherman	2.0	[nan]	['Although this incident is listed elsewhere as a shark attack, the account of the disaster suggests the 4 who perished probably drowned. Five people survived']	['seaplane Columbus ditched in the sea']	['Y']	['M']	Winter
1923	Jan	27-Jan-23	AUSTRALIA	Western Australia	Bunbury	Invalid	Shark involvement prior to death was not confirmed	1.0	[nan]	['Death may have been due to drowning']	[nan]	['UNKNOWN']	['M']	Winter
1923	Nov	02-Nov-23	AUSTRALIA	New South Wales	Bellinger Head	Invalid	Shark involvement suspected but not confirmed	2.0	[nan]	['FATAL']	['Fishing']	['Y']	['M']	Autumn
1923	Oct	17-Oct-23	AUSTRALIA	New South Wales	 Black Head, south of Taree	Boating	"""a very large shark"""	1.0	[nan]	['No injury to occupants, shark bit boat']	['Fishing']	['N']	[nan]	Autumn
1924	Jan	09-Jan-24	AUSTRALIA	New South Wales	Near Asbestos Works, Camellia, Parramatta River	Unprovoked	3 m [10'] shark	1.0	['16']	['FATAL, right thigh severely bitten, left arm lacerated ']	['Had just dived into water & was swimming']	['Y']	['M']	Winter
1924	Jul	14-Jul-24	ENGLAND	Dorset	Weymouth	Provoked	12' shark	1.0	[nan]	['Arms broken by hooked shark PROVOKED INCIDENT']	['Fishing for mackerel']	['N']	['M']	Summer
1924	Jul	31-Jul-24	USA	South Carolina	Folly Island, near Charleston	Unprovoked	Mako shark, 1.9 m [6.5']. Tooth fragment recovered & identified by J.T. Nichols.	1.0	[nan]	['Left knee & leg bitten. (Tooth fragment recovered from kneecap)']	['Standing']	['N']	['M']	Summer
1924	Mar	24-Mar-24	SPAIN	Galica	Sisargas Islands	Boating	3.5 m shark	1.0	[nan]	['No injury to occupants, shark bit boat']	['Fishing']	['N']	[nan]	Spring
1924	Nov	25-Nov-24	MEXICO	Tamaulipas	Tampico	Unprovoked	1.8 m shark	1.0	[nan]	['FATAL']	['The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.']	['Y']	['F']	Autumn
1924	Oct	18-Oct-24	AUSTRALIA	Victoria	Port Melbourne	Unprovoked	10' shark	1.0	[nan]	['Leg bitten']	['Bathing']	['N']	['M']	Autumn
1925	Jan	08-Jan-25	CANADA	Vancouver	Second Narrows in Burrard Inlet	Unprovoked	2.1 m [7'] shark	1.0	[nan]	['Injuries, if any, unknown, but afterwards diver stunned shark with iron bar']	"[""Diving, repairing water main at depth of 90'""]"	['N']	['M']	Winter
1925	Mar	07-Mar-1925 or 27-Mar-1925	AUSTRALIA	New South Wales	Coogee	Unprovoked	Said to be a �small shark�	1.0	['16']	['Left thigh bitten, leg surgically amputated ']	['Bathing in waist-deep water']	['N']	['M']	Spring
1925	Nov	22-Nov-25	AUSTRALIA	Western Australia	Cottesloe Beach	Unprovoked	Tiger shark, 4 m [13'] female	1.0	['55']	['FATAL, thigh  & torso bitten, then shark charged rescue boat ']	['Floating on his back']	['Y']	['M']	Autumn
1926	Apr	07-Apr-26	USA	Hawaii	Hilo Bay Yacht Club, Hilo, Hawai'i	Unprovoked	According to Carlsmith, the shark's mouth was 3' wide	1.0	[nan]	['Right leg bitten thigh to heel']	['Swimming']	['N']	['F']	Spring
1926	Jan	26-Jan-26	SOUTH AFRICA	Eastern Cape Province	Hamburg	Unprovoked	"""a blue shark"""	2.0	[nan]	['Thigh lacerated']	['Swimming']	['N']	['M']	Winter
1926	Jul	03-Jul-26	SPAIN	Sants-Montjic	Casa Antunez Beach, Barcelona	Invalid	2m shark	1.0	[nan]	['No injury']	['Bathing']	['N']	['M']	Summer
1926	Jul	08-Jul-26	USA	California	San Francisco Bay (or San Leandro Bay), near cannery, Alameda County	Unprovoked	1.5 m [5'] white shark or sevengill shark	1.0	['15']	['Leg & hand lacerated and dog bitten']	['Swimming with dog near canning factory']	['N']	['M']	Summer
1926	Jul	12-Jul-26	USA	New Jersey	20 miles off Seabright	Boating	"""whiptail shark"" (thresher shark?)"	1.0	[nan]	['No injury to occupants']	['Fishing']	['N']	['M']	Summer
1926	Jul	23-Jul-26	ITALY	Golfo di Genova in the Ligurian Sea	Varazze	Unprovoked	Said to involve 6 to 7 m [20' to 23'] white shark	1.0	['20']	['FATAL, body was not recovered']	['Swimming']	['Y']	['M']	Summer
1926	Mar	17-Mar-26	AUSTRALIA	South Australia	West Beach, Brighton	Unprovoked	White shark, 3.7 m [12']  	1.0	[nan]	['FATAL']	['Swimming ']	['Y']	['F']	Spring
1926	May	18-May-26	USA	Hawaii	Hale'iwa, O'ahu	Unprovoked	White shark, 3.8 m [12.5']  	1.0	[nan]	['FATAL, gave sudden shriek & disappeared, body found in shark caught off Kahuka']	['Swimming']	['Y']	['M']	Spring
1926	Oct	23-Oct-26	AUSTRALIA	New South Wales	Clarence River	Unprovoked	Grey nurse shark, 4'	1.0	['17']	"['3"" laceration to leg']"	['Bathing']	['N']	['M']	Autumn
1927	Dec	28-Dec-27	SOUTH AFRICA	Western Cape Province	Little Brak River	Unprovoked	White shark, 4.4 m [14.5'] . 	1.0	['17']	['FATAL, leg bitten  ']	['Swimming']	['Y']	['M']	Winter
1927	Feb	Feb-27	NEW ZEALAND	South Island	Menzies Bay, Banks Peninsula, 	Provoked	Mako shark	1.0	['70']	['Severely bitten by shark caught 30 minutes earlier  PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
1927	Jan	03-Jan-27	AUSTRALIA	New South Wales	Grey�s Point, Port Hacking	Unprovoked	3.7 m [12'] shark	1.0	['15']	['FATAL, leg bitten from thigh to ankle']	['Swimming']	['Y']	['M']	Winter
1927	Jan	20-Jan-27	SOUTH AFRICA	Eastern Cape Province	Kidd�s Beach	Unprovoked	Raggedtooth shark, 1.5 m [5'] 	1.0	[nan]	['Both thighs  lacerated']	['Body surfing']	['N']	['M']	Winter
1927	Mar	11-Mar-27	AUSTRALIA	New South Wales	Mereweather Beach	Unprovoked	Grey nurse shark?	1.0	['17']	['Right buttock & thigh bitten, thumb removed']	['Body surfing / treading water']	['N']	['M']	Spring
1928	Apr	06-Apr-28	AUSTRALIA	Queensland	Graceville	Unprovoked	4' shark	1.0	['15']	['Lacerations to right leg ']	['Bathing']	['N']	['M']	Spring
1928	Apr	Reported 14-Apr-1928	AUSTRALIA	Queensland	Barrow Point, 100 miles north of Cooktown, Queensland	Unprovoked	Tiger shark	1.0	[nan]	['Severe lacerations to arm']	['Fishing']	['N']	['M']	Spring
1928	Aug	Reported 24-Aug-1928	USA	New Jersey	Off shore	Invalid	7' shark	1.0	[nan]	"[""Thumb & coat sleeve recovered from shark's gut""]"	[nan]	['UNKNOWN']	['M']	Summer
1928	Jan	Jan-28	SOUTH AFRICA	Eastern Cape Province	Kei River mouth	Unprovoked	1.2 m [4'] shark	1.0	['18']	['Foot bitten']	['Body surfing']	['N']	['M']	Winter
1928	Jan	Some time between 08-Jan-1928 & 21-Jan-1928	USA	Florida	Off Florida coast	Invalid	Shark involvement not confirmed	1.0	[nan]	['FATAL, presumed taken by shark/s']	['Jumped overboard and swimming']	['Y']	['M']	Winter
1928	Jul	Late Jul-1928	ITALY	Tuscany	Viareggio	Provoked	Species unknown, possibly a white shark	1.0	[nan]	['No injury, shark approached the boat, he hit it with and oar and fell into the sea PROVOKED INCIDENT']	['Boating']	['N']	['M']	Summer
1928	Nov	04-Nov-28	PANAMA	Gulf of Panama	Taboga Island Bay	Unprovoked	Moreno�s leg  & part of his swim suit found in 9' shark caught two hours after the attack. Identified as carcharhinid shark by L. Schultz & C. Limbaugh on photograph	1.0	['17']	['FATAL, multiple injuries including evisceration, 3 fractures of right arm, 5 fingers  & leg severed below knee']	['Swimming']	['Y']	['M']	Autumn
